"target" "subjectID" "experimentID" "rotation" "handedness" "trialID" "RT_LD" "Response_LD" "lexicality_LD" "orderIDLD" "accLD" "rtPrecLD" "accPrecLD" "lexicality" "base" "freqbase" "lengthtarget" "condition" "Old20base" "Old20target" "freqcluster" "cluster" "explInterp"
"anguria" "VB10" "LDF" "4" "D" "3287" 524 "word" "word" 41 1 1224 1 "word" "anguria" 2.057 7 "simple" 1.95 1.95 NA NA NA
"anguria" "MT11" "LDF" "5" "S" "3365" 720 "word" "word" 51 1 794 1 "word" "anguria" 2.057 7 "simple" 1.95 1.95 NA NA NA
"anguria" "RE24" "LDF" "6" "S" "3443" 675 "word" "word" 18 1 457 1 "word" "anguria" 2.057 7 "simple" 1.95 1.95 NA NA NA
"anguria" "SP12" "LDF" "6" "S" "3443" 527 "word" "word" 58 1 656 1 "word" "anguria" 2.057 7 "simple" 1.95 1.95 NA NA NA
"anguria" "DM7" "LDF" "1" "D" "3053" 605 "word" "word" 57 1 1212 1 "word" "anguria" 2.057 7 "simple" 1.95 1.95 NA NA NA
"anguria" "FC39" "LDF" "3" "D" "3209" 699 "word" "word" 57 1 1350 1 "word" "anguria" 2.057 7 "simple" 1.95 1.95 NA NA NA
"anguria" "SP17" "LDF" "5" "D" "3365" 1010 "word" "word" 48 1 928 1 "word" "anguria" 2.057 7 "simple" 1.95 1.95 NA NA NA
"anguria" "SS41" "LDF" "5" "D" "3365" 565 "word" "word" 72 1 519 1 "word" "anguria" 2.057 7 "simple" 1.95 1.95 NA NA NA
"anguria" "MN5" "LDF" "5" "S" "3365" 563 "word" "word" 69 1 980 1 "word" "anguria" 2.057 7 "simple" 1.95 1.95 NA NA NA
"anguria" "MC3" "LDF" "3" "D" "3209" 637 "word" "word" 66 1 742 1 "word" "anguria" 2.057 7 "simple" 1.95 1.95 NA NA NA
"anguria" "VA49" "LDF" "1" "D" "3053" 472 "word" "word" 79 1 644 1 "word" "anguria" 2.057 7 "simple" 1.95 1.95 NA NA NA
"anguria" "ADC28" "LDF" "4" "D" "3287" 572 "word" "word" 69 1 602 1 "word" "anguria" 2.057 7 "simple" 1.95 1.95 NA NA NA
"anguria" "AC43" "LDF" "1" "D" "3053" 598 "word" "word" 48 1 967 1 "word" "anguria" 2.057 7 "simple" 1.95 1.95 NA NA NA
"anguria" "MV48" "LDF" "6" "D" "3443" 510 "word" "word" 69 1 654 1 "word" "anguria" 2.057 7 "simple" 1.95 1.95 NA NA NA
"anguria" "GL47" "LDF" "5" "S" "3365" 509 "word" "word" 69 1 663 1 "word" "anguria" 2.057 7 "simple" 1.95 1.95 NA NA NA
"anguria" "AB9" "LDF" "3" "D" "3209" 512 "word" "word" 85 1 668 1 "word" "anguria" 2.057 7 "simple" 1.95 1.95 NA NA NA
"anguria" "GC46" "LDF" "4" "D" "3287" 709 "word" "word" 95 1 845 1 "word" "anguria" 2.057 7 "simple" 1.95 1.95 NA NA NA
"anguria" "AB53" "LDF" "5" "D" "3365" 766 "word" "word" 94 1 1455 1 "word" "anguria" 2.057 7 "simple" 1.95 1.95 NA NA NA
"anguria" "AG25" "LDF" "1" "D" "3053" 528 "word" "word" 48 1 846 1 "word" "anguria" 2.057 7 "simple" 1.95 1.95 NA NA NA
"anguria" "EM13" "LDF" "1" "D" "3053" 476 "word" "word" 69 1 673 1 "word" "anguria" 2.057 7 "simple" 1.95 1.95 NA NA NA
"anguria" "DC2" "LDF" "2" "D" "3131" 638 "word" "word" 27 1 619 1 "word" "anguria" 2.057 7 "simple" 1.95 1.95 NA NA NA
"anguria" "LM21" "LDF" "3" "D" "3209" 523 "word" "word" 48 1 868 1 "word" "anguria" 2.057 7 "simple" 1.95 1.95 NA NA NA
"anguria" "GF54" "LDF" "6" "D" "3443" 765 "word" "word" 48 1 579 1 "word" "anguria" 2.057 7 "simple" 1.95 1.95 NA NA NA
"anguria" "CF1" "LDF" "1" "D" "3053" 419 "word" "word" 48 1 744 1 "word" "anguria" 2.057 7 "simple" 1.95 1.95 NA NA NA
