"prime" "trialID" "lexicality" "target" "cluster" "freqtarget" "stemunrelated" "unrelatedfreq" "lengthtarget" "lengthprime" "relatedness" "condition" "old20target" "old20prime" "stem" "freqcluster" "subjectID" "experimentID" "rotation" "handedness" "RT" "response" "orderID" "acc" "rtPrec" "accPrec" "morphInterference" "explInterp"
"alloggibete" 23030 "word" "caviglia" "bete" 2.9 "alloggio" 2.894 8 11 "unrelated" "LF_orthog" 1.95 3.5 "alloggi" 2.818 "GL47" "MPF" 5 "S" 483 "word" 117 1 442 "1" NA NA
"alloggibete" 23030 "word" "caviglia" "bete" 2.9 "alloggio" 2.894 8 11 "unrelated" "LF_orthog" 1.95 3.5 "alloggi" 2.818 "SS41" "MPF" 5 "D" 704 "word" 109 1 485 "1" NA NA
"alloggiempo" 22030 "word" "caviglia" "empo" 2.9 "alloggio" 2.894 8 11 "unrelated" "HF_orthog" 1.95 3.55 "alloggi" 5.006 "ADB4" "MPF" 4 "D" 700 "word" 173 1 1041 "1" NA NA
"alloggiempo" 22030 "word" "caviglia" "empo" 2.9 "alloggio" 2.894 8 11 "unrelated" "HF_orthog" 1.95 3.55 "alloggi" 5.006 "LJ22" "MPF" 4 "D" 598 "word" 173 1 988 "1" NA NA
"alloggiempo" 22030 "word" "caviglia" "empo" 2.9 "alloggio" 2.894 8 11 "unrelated" "HF_orthog" 1.95 3.55 "alloggi" 5.006 "VB10" "MPF" 4 "D" 481 "word" 173 1 543 "1" NA NA
"alloggiempo" 22030 "word" "caviglia" "empo" 2.9 "alloggio" 2.894 8 11 "unrelated" "HF_orthog" 1.95 3.55 "alloggi" 5.006 "ADC28" "MPF" 4 "D" 624 "word" 63 1 772 "1" NA NA
"alloggiempo" 22030 "word" "caviglia" "empo" 2.9 "alloggio" 2.894 8 11 "unrelated" "HF_orthog" 1.95 3.55 "alloggi" 5.006 "GC46" "MPF" 4 "D" 535 "word" 167 1 595 "1" NA NA
"alloggiempo" 22030 "word" "caviglia" "empo" 2.9 "alloggio" 2.894 8 11 "unrelated" "HF_orthog" 1.95 3.55 "alloggi" 5.006 "FC52" "MPF" 4 "D" 537 "word" 127 1 469 "1" NA NA
"alloggiempo" 22030 "word" "caviglia" "empo" 2.9 "alloggio" 2.894 8 11 "unrelated" "HF_orthog" 1.95 3.55 "alloggi" 5.006 "MC16" "MPF" 4 "D" 574 "word" 156 1 846 "1" NA NA
"alloggiempo" 22030 "word" "caviglia" "empo" 2.9 "alloggio" 2.894 8 11 "unrelated" "HF_orthog" 1.95 3.55 "alloggi" 5.006 "ACV34" "MPF" 4 "S" 533 "word" 127 1 516 "1" NA NA
"alloggiempo" 22030 "word" "caviglia" "empo" 2.9 "alloggio" 2.894 8 11 "unrelated" "HF_orthog" 1.95 3.55 "alloggi" 5.006 "GP40" "MPF" 4 "D" 559 "word" 51 1 639 "1" NA NA
"alloggimente" 21030 "word" "caviglia" "mente" 2.9 "alloggio" 2.894 8 12 "unrelated" "morphological" 1.95 3.5 "alloggi" 5.521 "AB9" "MPF" 3 "D" 569 "word" 127 1 556 "1" 0.025330970713877 -0.895320400148354
"alloggimente" 21030 "word" "caviglia" "mente" 2.9 "alloggio" 2.894 8 12 "unrelated" "morphological" 1.95 3.5 "alloggi" 5.521 "CS33" "MPF" 3 "D" 542 "word" 127 1 701 "1" 0.025330970713877 -0.895320400148354
"alloggimente" 21030 "word" "caviglia" "mente" 2.9 "alloggio" 2.894 8 12 "unrelated" "morphological" 1.95 3.5 "alloggi" 5.521 "MC3" "MPF" 3 "D" 557 "word" 127 1 568 "1" 0.025330970713877 -0.895320400148354
"alloggimente" 21030 "word" "caviglia" "mente" 2.9 "alloggio" 2.894 8 12 "unrelated" "morphological" 1.95 3.5 "alloggi" 5.521 "GG27" "MPF" 3 "D" 657 "word" 138 1 585 "1" 0.025330970713877 -0.895320400148354
"alloggimente" 21030 "word" "caviglia" "mente" 2.9 "alloggio" 2.894 8 12 "unrelated" "morphological" 1.95 3.5 "alloggi" 5.521 "MP15" "MPF" 3 "D" 627 "word" 109 1 568 "1" 0.025330970713877 -0.895320400148354
"alloggimente" 21030 "word" "caviglia" "mente" 2.9 "alloggio" 2.894 8 12 "unrelated" "morphological" 1.95 3.5 "alloggi" 5.521 "AV45" "MPF" 3 "D" 850 "word" 83 1 597 "1" 0.025330970713877 -0.895320400148354
"alloggimente" 21030 "word" "caviglia" "mente" 2.9 "alloggio" 2.894 8 12 "unrelated" "morphological" 1.95 3.5 "alloggi" 5.521 "EV51" "MPF" 3 "D" 560 "word" 127 1 617 "1" 0.025330970713877 -0.895320400148354
"alloggimente" 21030 "word" "caviglia" "mente" 2.9 "alloggio" 2.894 8 12 "unrelated" "morphological" 1.95 3.5 "alloggi" 5.521 "FC39" "MPF" 3 "S" 538 "word" 168 1 718 "1" 0.025330970713877 -0.895320400148354
"alloggimente" 21030 "word" "caviglia" "mente" 2.9 "alloggio" 2.894 8 12 "unrelated" "morphological" 1.95 3.5 "alloggi" 5.521 "LM21" "MPF" 3 "D" 707 "word" 127 1 636 "1" 0.025330970713877 -0.895320400148354
"amigucro" 33143 "nonword" "forgo" "ucro" NA NA NA 5 8 "unrelated" "LF_orthog" 1.05 2.9 "amig" 2.453 "LC44" "MPF" 2 "D" 633 "nonword" 112 1 612 "1" NA NA
"amigucro" 33143 "nonword" "forgo" "ucro" NA NA NA 5 8 "unrelated" "LF_orthog" 1.05 2.9 "amig" 2.453 "GDL30" "MPF" 6 "D" 722 "nonword" 164 1 519 "1" NA NA
"amigucro" 33143 "nonword" "forgo" "ucro" NA NA NA 5 8 "unrelated" "LF_orthog" 1.05 2.9 "amig" 2.453 "MT11" "MPF" 5 "S" 554 "nonword" 158 1 729 "1" NA NA
"amigucro" 33143 "nonword" "forgo" "ucro" NA NA NA 5 8 "unrelated" "LF_orthog" 1.05 2.9 "amig" 2.453 "GC46" "MPF" 4 "D" 642 "nonword" 81 1 960 "1" NA NA
"amigucro" 33143 "nonword" "forgo" "ucro" NA NA NA 5 8 "unrelated" "LF_orthog" 1.05 2.9 "amig" 2.453 "AB9" "MPF" 3 "D" 1413 "nonword" 174 1 764 "1" NA NA
